ENCODED_MCT,MCT_BSE_AR,MCT_NM,MCT_BRD_NUM,MCT_SIGUNGU_NM,HPSN_MCT_ZCD_NM,HPSN_MCT_BZN_CD_NM,ARE_D,MCT_ME_D
16184E93D9,서울 성동구 마장동,성우**,,서울 성동구,축산물,마장동,20130320,
4D039EA8B7,서울 성동구 마장동,대보**,,서울 성동구,축산물,마장동,20131122,
0074C4990A,서울 성동구 마장동,대용**,,서울 성동구,축산물,마장동,20140512,
68308F2746,서울 성동구 마장동,통일**,,서울 성동구,축산물,마장동,20151124,
4117EDDE9C,서울 성동구 마장동,한울**,,서울 성동구,축산물,마장동,20151211,
281CA527F1,서울 성동구 마장동,대광**,,서울 성동구,축산물,마장동,20170222,
9A71D71270,서울 성동구 마장동,미림**,,서울 성동구,식품 제조,,20170817,
761947ABD9,서울 성동구 마장동,호남*,,서울 성동구,한식-육류/고기,마장동,20130531,
145BA84596,서울 성동구 사근동,고향***,,서울 성동구,한식-찌개/전골,한양대,20140618,
27C88660A5,서울 성동구 송정동,북*,,서울 성동구,중식당,,20141217,
BAACCE3A2C,서울 성동구 용답동,좋은**,,서울 성동구,식료품,장한평자동차,20130305,
BE3EAEA415,서울 성동구 용답동,별난**,,서울 성동구,한식-국수/만두,답십리,20140107,
01AAD3CFFA,서울 성동구 행당동,행당**,,서울 성동구,식료품,왕십리,20160513,
C3E6D8B14F,서울 성동구 행당동,이혜*******,,서울 성동구,인삼제품,행당,20131216,
E606947836,서울 성동구 홍익동,정*,,서울 성동구,중식당,왕십리,20150918,
E863289A7D,서울 성동구 홍익동,조은**,,서울 성동구,한식-단품요리일반,,20150116,
B584924DB0,서울 성동구 행당1동,왕십****,,서울 성동구,식품 제조,왕십리,20140828,
2344622681,서울  성동구  도선동,광한******,,서울 성동구,한식-해물/생선,왕십리,20110502,
3E35A71757,서울  성동구  마장동,멕시*****,치킨19,서울 성동구,치킨,,20050830,
5017C6924A,서울  성동구  마장동,도미********,피자2,서울 성동구,피자,,20100723,
888828B4FB,서울  성동구  마장동,현대**,,서울 성동구,식료품,,20070420,
06C463E9D9,서울  성동구  마장동,청계**,,서울 성동구,식료품,,20070704,
5AEEA3B4EF,서울  성동구  마장동,한양**,,서울 성동구,식료품,,20101008,
1400634946,서울  성동구  마장동,한일**,,서울 성동구,중식당,,20040728,
3E61C339E2,서울  성동구  마장동,세화**,,서울 성동구,축산물,,20020924,
B81D338DB6,서울  성동구  마장동,대성**,축산물2,서울 성동구,축산물,마장동,20030819,
8941E2A3A0,서울  성동구  마장동,광*,,서울 성동구,축산물,,20090304,
D5CFCB32BA,서울  성동구  마장동,희망**,,서울 성동구,축산물,,20110720,
319880C87E,서울  성동구  마장동,한일**,,서울 성동구,축산물,마장동,20120312,
A6277E8E47,서울  성동구  마장동,세계**,,서울 성동구,축산물,마장동,20120911,
57AEEDF72B,서울  성동구  마장동,파리**********,베이커리10,서울 성동구,베이커리,마장동,20110112,
99730CC7C5,서울  성동구  마장동,진*,,서울 성동구,요리주점,왕십리,20000420,
1900B33A12,서울  성동구  마장동,삼대**,한식-냉면1,서울 성동구,한식-냉면,,20081008,
112C9E0C52,서울  성동구  마장동,대구*,,서울 성동구,백반/가정식,마장동,20140211,
87569153FF,서울  성동구  마장동,원조***,,서울 성동구,한식-육류/고기,,20050201,
AC6B3827B8,서울  성동구  마장동,훈희***,,서울 성동구,한식-육류/고기,마장동,20090122,
8425C2D133,서울  성동구  마장동,몽실******,,서울 성동구,한식-육류/고기,마장동,20110506,
21C4BDD140,서울  성동구  마장동,순대**,,서울 성동구,한식-국밥/설렁탕,마장동,20051223,
11B0AA1C3B,서울  성동구  마장동,동원**,,서울 성동구,한식-단품요리일반,왕십리,20011022,
E6AE130DD5,서울  성동구  마장로,마장*****,,서울 성동구,한식-육류/고기,,20111109,
EE8D458B93,서울  성동구  무학로,와이***********,,서울 성동구,축산물,,20121109,
1F5C564B04,서울  성동구  상원길,맛드*,,서울 성동구,반찬,뚝섬,20130410,
69EE47A25B,서울  성동구  상원길,피자********,피자8,서울 성동구,피자,뚝섬,20121231,
6E87D8EF74,서울  성동구  상원길,담바*,,서울 성동구,한식-육류/고기,뚝섬,20140318,
82F292A867,서울  성동구  송정동,델리**,,서울 성동구,식료품,,20090904,
BDEBB09D4F,서울  성동구  송정동,본토****,,서울 성동구,한식-육류/고기,,20100817,
9D085B6A2F,서울  성동구  용답동,동부**,,서울 성동구,백반/가정식,장한평자동차,20110329,
6D8F7BBA89,서울  성동구  용답동,고향**,,서울 성동구,한식-단품요리일반,장한평자동차,20030421,
5B646D947B,서울  성동구  응봉동,풀무*********,식료품3,서울 성동구,식료품,,20120608,
875116B12A,서울  성동구  응봉동,단아**,,서울 성동구,떡/한과 제조,,20070417,
21752D89FB,서울  성동구  행당동,영*,,서울 성동구,건강식품,행당,20090316,
80E637212D,서울  성동구  행당동,에스******,,서울 성동구,커피전문점,행당,20110808,
CEF3D93273,서울  성동구  행당동,종로**,,서울 성동구,떡/한과 제조,행당,20061026,
33361C935B,서울  성동구  행당동,만두**,,서울 성동구,한식-국수/만두,행당,20101112,
E1C897591D,서울  성동구  행당동,코페*,,서울 성동구,한식-단품요리일반,한양대,20061023,
1F7ECE7D49,서울  성동구  행당동,아폴*********,,서울 성동구,한식-단품요리일반,왕십리,20110105,
25D2E98F3A,서울  성동구  행당동,무탁****,,서울 성동구,한식-단품요리일반,왕십리,20111107,
66A39F4442,서울  성동구  홍익동,정은****,,서울 성동구,한식-육류/고기,왕십리,20100408,
3E96264C22,서울  성동구  홍익동,맛나**,,서울 성동구,한식-찌개/전골,왕십리,20060216,
C1C06DF70A,서울 성동구 마조로 9,설빙****,아이스크림/빙수2,서울 성동구,아이스크림/빙수,한양대,20140623,
8ABD74319E,서울 성동구 무학로 8,70******,,서울 성동구,룸살롱/단란주점,,20151116,
8749D150F3,서울  성동구  상원6길,오가******,,서울 성동구,한식-해물/생선,뚝섬,20111103,
5BE883AA16,서울  성동구  옥수2동,극동*****,,서울 성동구,축산물,,19941128,
94C8165F35,서울  성동구  옥수2동,전주*******,,서울 성동구,백반/가정식,옥수,19981207,
ED815EC186,서울  성동구  옥수2동,양지***,,서울 성동구,한식-육류/고기,옥수,20000607,
FBDA2A8798,서울  성동구  옥수2동,장군**,,서울 성동구,한식-육류/고기,옥수,20021109,
147235F3A5,서울  성동구  옥수2동,돈까*,,서울 성동구,일식-덮밥/돈가스,옥수,20070314,
167F268F8E,서울  성동구  행당1동,돔카*,,서울 성동구,카페,왕십리,20110525,
7C3795DF2D,서울  성동구  행당1동,한양***********,,서울 성동구,식료품,한양대,20090311,
E9EB56D7EC,서울  성동구  행당1동,한양***,,서울 성동구,한식-육류/고기,한양대,20100719,
55B4F11C0E,서울  성동구  행당2동,김밥**,,서울 성동구,분식,행당,20101011,
C75AC23756,서울  성동구  행당2동,대림****,,서울 성동구,축산물,행당,20000627,
4DEDE7CD03,서울 성동구 금호동2가,닭한*****,,서울 성동구,한식-육류/고기,신금호,20041102,
8F1003CA95,서울 성동구 금호동3가,귀일**,,서울 성동구,분식,금남시장,20160315,
04BACBFB49,서울 성동구 금호로 56,해장***,,서울 성동구,백반/가정식,금남시장,20070125,
5946F40892,서울 성동구 금호로 62,교촌******,치킨6,서울 성동구,치킨,금남시장,20130325,
17FF425166,서울 성동구 금호로 66,광주**,,서울 성동구,한식-해물/생선,,20020708,
AB0716250B,서울 성동구 동일로 83,와규**,,서울 성동구,한식-육류/고기,,20080515,
E9D4FB94A0,서울 성동구 동일로 83,참나*****,,서울 성동구,한식-단품요리일반,,20100223,
149BA1B7C7,서울 성동구 마조로 11,써브******,샌드위치/토스트2,서울 성동구,샌드위치/토스트,한양대,20020121,
2AECA02B3A,서울 성동구 마조로 17,대*,,서울 성동구,축산물,한양대,20020430,
11A66B8033,서울 성동구 마조로 17,돼지*,,서울 성동구,한식-육류/고기,한양대,20020321,
CE3D519C06,서울 성동구 마조로 17,장어**,,서울 성동구,한식-해물/생선,한양대,20090617,
03A222EE9D,서울 성동구 마조로 17,놀란*,,서울 성동구,한식-단품요리일반,한양대,20140609,
946BE40BF1,서울 성동구 마조로 25,토리********,,서울 성동구,일식당,한양대,20150911,
B2378AFA3D,서울 성동구 마조로 29,성일***,,서울 성동구,한식-감자탕,한양대,20100217,
F512DF538E,서울 성동구 마조로 31,맘스*******,햄버거2,서울 성동구,햄버거,한양대,20150831,
C2207433F7,서울 성동구 마조로 33,한솥***********,도시락3,서울 성동구,도시락,한양대,20100712,
9350A78BD7,서울 성동구 마조로 33,동방***,,서울 성동구,꼬치구이,한양대,20140721,
661C7C734C,서울 성동구 마조로 35,크로*******,,서울 성동구,베이커리,한양대,20020925,
43CE48A1CD,서울 성동구 마조로 39,스마*,,서울 성동구,분식,한양대,20090303,
0E2AE2C4F1,서울 성동구 마조로 7.,철*,,서울 성동구,백반/가정식,한양대,20160823,
7102ACD438,서울 성동구 매봉길 2.,인덕***,,서울 성동구,양식,옥수,20180117,
F80F79F599,서울 성동구 매봉길 2.,파파*****,피자7,서울 성동구,피자,옥수,20051130,
FCBC740B1D,서울 성동구 무학로 33,왕십**********,베이커리10,서울 성동구,베이커리,,20160419,
